{} STI
{(0,2)(1,1)(2,1)} TA
{(0,2)(1,0)(2,1)} TIA
{(0,2)(1,0)(1,1)(2,1)} TA
{(0,1)(0,2)(2,1)} TIA
{(0,1)(0,2)(1,1)(2,1)} TA
{(0,1)(0,2)(1,0)(2,1)} IA
{(0,1)(0,2)(1,0)(1,1)(2,1)} A
{(0,0)(0,2)(2,1)} TA
{(0,0)(0,2)(1,1)(2,1)} TA
{(0,0)(0,2)(1,0)(2,1)} TA
{(0,0)(0,2)(1,0)(1,1)(2,1)} TA
{(0,0)(0,1)(0,2)(2,1)} TA
{(0,0)(0,1)(0,2)(1,1)(2,1)} TA
{(0,0)(0,1)(0,2)(1,0)(2,1)} A
{(0,0)(0,1)(0,2)(1,0)(1,1)(2,1)} A
{(0,2)(1,2)} TIA
{(0,2)(1,1)(1,2)} TA
{(0,2)(1,0)(1,2)} TIA
{(0,2)(1,0)(1,1)(1,2)} TA
{(0,1)(0,2)(1,2)} TIA
{(0,1)(0,2)(1,1)(1,2)} TA
{(0,1)(0,2)(1,0)(1,2)} IA
{(0,1)(0,2)(1,0)(1,1)(1,2)} A
{(0,0)(0,2)(1,2)} TA
{(0,0)(0,2)(1,1)(1,2)} TA
{(0,0)(0,2)(1,0)(1,2)} TA
{(0,0)(0,2)(1,0)(1,1)(1,2)} TA
{(0,0)(0,1)(0,2)(1,2)} TA
{(0,0)(0,1)(0,2)(1,1)(1,2)} TA
{(0,0)(0,1)(0,2)(1,0)(1,2)} A
{(0,0)(0,1)(0,2)(1,0)(1,1)(1,2)} A
{(0,2)(1,2)(2,1)} IA
{(0,2)(1,1)(1,2)(2,1)} A
{(0,2)(1,0)(1,2)(2,1)} IA
{(0,2)(1,0)(1,1)(1,2)(2,1)} A
{(0,1)(0,2)(1,2)(2,1)} IA
{(0,1)(0,2)(1,1)(1,2)(2,1)} A
{(0,1)(0,2)(1,0)(1,2)(2,1)} IA
{(0,1)(0,2)(1,0)(1,1)(1,2)(2,1)} A
{(0,0)(0,2)(1,2)(2,1)} A
{(0,0)(0,2)(1,1)(1,2)(2,1)} A
{(0,0)(0,2)(1,0)(1,2)(2,1)} A
{(0,0)(0,2)(1,0)(1,1)(1,2)(2,1)} A
{(0,0)(0,1)(0,2)(1,2)(2,1)} A
{(0,0)(0,1)(0,2)(1,1)(1,2)(2,1)} A
{(0,0)(0,1)(0,2)(1,0)(1,2)(2,1)} A
{(0,0)(0,1)(0,2)(1,0)(1,1)(1,2)(2,1)} A
{(0,2)(2,2)} TA
{(0,2)(1,1)(2,2)} TA
{(0,2)(1,0)(2,2)} TA
{(0,2)(1,0)(1,1)(2,2)} TA
{(0,1)(0,2)(2,2)} TA
{(0,1)(0,2)(1,1)(2,2)} TA
{(0,1)(0,2)(1,0)(2,2)} A
{(0,1)(0,2)(1,0)(1,1)(2,2)} A
{(0,0)(0,2)(2,2)} TA
{(0,0)(0,2)(1,1)(2,2)} RTA
{(0,0)(0,2)(1,0)(2,2)} TA
{(0,0)(0,2)(1,0)(1,1)(2,2)} RTA
{(0,0)(0,1)(0,2)(2,2)} TA
{(0,0)(0,1)(0,2)(1,1)(2,2)} RTA
{(0,0)(0,1)(0,2)(1,0)(2,2)} A
{(0,0)(0,1)(0,2)(1,0)(1,1)(2,2)} RTA
{(0,2)(2,1)(2,2)} TA
{(0,2)(1,1)(2,1)(2,2)} TA
{(0,2)(1,0)(2,1)(2,2)} TA
{(0,2)(1,0)(1,1)(2,1)(2,2)} TA
{(0,1)(0,2)(2,1)(2,2)} TA
{(0,1)(0,2)(1,1)(2,1)(2,2)} TA
{(0,1)(0,2)(1,0)(2,1)(2,2)} A
{(0,1)(0,2)(1,0)(1,1)(2,1)(2,2)} A
{(0,0)(0,2)(2,1)(2,2)} TA
{(0,0)(0,2)(1,1)(2,1)(2,2)} RTA
{(0,0)(0,2)(1,0)(2,1)(2,2)} TA
{(0,0)(0,2)(1,0)(1,1)(2,1)(2,2)} RTA
{(0,0)(0,1)(0,2)(2,1)(2,2)} TA
{(0,0)(0,1)(0,2)(1,1)(2,1)(2,2)} RTA
{(0,0)(0,1)(0,2)(1,0)(2,1)(2,2)} A
{(0,0)(0,1)(0,2)(1,0)(1,1)(2,1)(2,2)} RTA
{(0,2)(1,2)(2,2)} TA
{(0,2)(1,1)(1,2)(2,2)} TA
{(0,2)(1,0)(1,2)(2,2)} TA
{(0,2)(1,0)(1,1)(1,2)(2,2)} TA
{(0,1)(0,2)(1,2)(2,2)} TA
{(0,1)(0,2)(1,1)(1,2)(2,2)} TA
{(0,1)(0,2)(1,0)(1,2)(2,2)} A
{(0,1)(0,2)(1,0)(1,1)(1,2)(2,2)} A
{(0,0)(0,2)(1,2)(2,2)} TA
{(0,0)(0,2)(1,1)(1,2)(2,2)} RTA
{(0,0)(0,2)(1,0)(1,2)(2,2)} TA
{(0,0)(0,2)(1,0)(1,1)(1,2)(2,2)} RTA
{(0,0)(0,1)(0,2)(1,2)(2,2)} TA
{(0,0)(0,1)(0,2)(1,1)(1,2)(2,2)} RTA
{(0,0)(0,1)(0,2)(1,0)(1,2)(2,2)} A
{(0,0)(0,1)(0,2)(1,0)(1,1)(1,2)(2,2)} RTA
{(0,2)(1,2)(2,1)(2,2)} A
{(0,2)(1,1)(1,2)(2,1)(2,2)} A
{(0,2)(1,0)(1,2)(2,1)(2,2)} A
{(0,2)(1,0)(1,1)(1,2)(2,1)(2,2)} A
{(0,1)(0,2)(1,2)(2,1)(2,2)} A
{(0,1)(0,2)(1,1)(1,2)(2,1)(2,2)} A
{(0,1)(0,2)(1,0)(1,2)(2,1)(2,2)} A
{(0,1)(0,2)(1,0)(1,1)(1,2)(2,1)(2,2)} A
{(0,0)(0,2)(1,2)(2,1)(2,2)} A
{(0,0)(0,2)(1,1)(1,2)(2,1)(2,2)} RTA
{(0,0)(0,2)(1,0)(1,2)(2,1)(2,2)} A
{(0,0)(0,2)(1,0)(1,1)(1,2)(2,1)(2,2)} RTA
{(0,0)(0,1)(0,2)(1,2)(2,1)(2,2)} A
{(0,0)(0,1)(0,2)(1,1)(1,2)(2,1)(2,2)} RTA
